Day,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9
Date,Saturday Nov 7 2026,Sunday Nov 8 2026,Monday Nov 9 2026,Tuesday Nov 10 2026,Wednesday Nov 11 2026,Thursday Nov 12 2026,Friday Nov 13 2026,Saturday Nov 14 2026,Sunday Nov 15 2026
Location,San Juan Del SUr ,San Juan Del SUr,San Juan Del SUr,San Juan Del SUr,Lake Nicaragua,Lake Nicaragua,Lake Nicaragua,Leon,Managua
Activity,Fly in and then transit to San Juan Del SUr,,,Transit to Granada,,,,Volcano Boarding,
Accomodations,,,,,,,,,
Link,,,,,,,,https://www.volcanodaynicaragua.com/tours/volcano-boarding/,
Notes,,,,,,,,5-6 hours with a hike up the volcano. Then have drinks and a bondfire with a party bus,
,,,,,,,,,
Lake Nicaragua Notes,,,,,,,,,
"This includes CIty of Granada, islands of Ompete and the Volcanoes, Masaya Volcano. There is tons of stuff to do on this lake/cities and in the surrounding jungle",,,,,,,,,
Activities,,,,,,,,,
Masaya Volcano ,,,,,,,,,
,,,,,,,,,
"San Juan del Sur,",,,,,,,,,
"This is a beach town that has tons of stuff to do. Surf classes, SPanish classes????, SUnset Catamaran tour ( This would be really fun with a group or if we made some friends there), Sunday Funday Pool Crawl??, maybe we could be there for the first sunday. ",,,,,,,,,
Activities,,,,,,,,,
Surf Classes,Ziplining,Sunday Funday Pool Crawl,Deep sea fishing,Sunset Catamaran ,Wakeboard Lessons?,,,,
https://www.tripadvisor.com/AttractionProductReview-g528745-d23696605-2_Hour_Guided_Surf_Lesson_in_Playa_Maderas-San_Juan_del_Sur_Rivas_Department.html,https://www.tripadvisor.com/AttractionProductReview-g528745-d34441551-Ride_the_sky_and_Epic_bicycle_zipline_tour-San_Juan_del_Sur_Rivas_Department.html,https://sundayfundaynicaragua.com/,https://www.tripadvisor.com/AttractionProductReview-g528745-d34338449-Relaxed_Coastal_Fishing_Trip_in_San_Juan_del_Sur-San_Juan_del_Sur_Rivas_Department.html,https://www.wetravel.com/trips/half-day-shared-trip-turismo-del-mar-s-a-san-juan-del-sur-23792511#about-your-trip,https://www.getyourguide.com/san-juan-del-sur-l3439/san-juan-del-sur-private-wakeboarding-session-for-2-t1325976/?ranking_uuid=78833894-ebe3-4bee-b178-aa9040da5c5f&q=sunset+party+catamaran+tour+san+juan+del+sur,,,,
